11.6	0	6.98	4.65	6.98	4.65	4.65	9.3	6.98	8.96	1.49	8.96	7.46	5.97	4.48	7.46	7.46	5.97	23	0.338	5.33	0.0783	2.07	0.0305	0.25	0.265	0.206	43	0.256	0.256	0.209	25	0.24	0.28	0.2	-27.8	-0.409	0
11.6	0	6.98	4.65	6.98	4.65	4.65	9.3	6.98	6.8	2.91	6.8	10.7	4.85	3.88	3.88	11.6	6.8	29	0.279	20.3	0.195	7.31	0.0703	0.24	0.24	0.25	43	0.256	0.256	0.209	61	0.23	0.23	0.279	-35.6	-0.342	0
2.27	0	9.09	9.09	2.27	9.09	4.55	9.09	11.4	11.7	1.06	11.7	11.7	3.19	6.38	4.26	11.7	6.38	36	0.379	6.95	0.0731	3	0.0316	0.253	0.305	0.253	44	0.295	0.182	0.25	51	0.216	0.412	0.255	-42	-0.442	-1
13.6	0	9.09	2.27	13.6	6.82	4.55	9.09	2.27	17.2	0	10.9	4.69	12.5	7.81	4.69	10.9	1.56	26	0.4	3.29	0.0506	1.43	0.0219	0.215	0.338	0.292	44	0.227	0.295	0.295	21	0.19	0.429	0.286	-40.2	-0.618	0
4.55	0	6.82	0	4.55	6.82	9.09	11.4	11.4	3.12	0	9.38	3.12	3.12	6.25	10.9	9.38	7.81	24	0.369	6.35	0.0977	2.58	0.0397	0.323	0.2	0.2	44	0.341	0.182	0.227	21	0.286	0.238	0.143	-26.6	-0.409	0
6.82	0	11.4	4.55	9.09	4.55	6.82	6.82	4.55	7.41	1.85	13	8.33	6.48	3.7	5.56	10.2	3.7	34	0.312	10.7	0.098	3.53	0.0324	0.239	0.275	0.275	44	0.273	0.227	0.273	65	0.215	0.308	0.277	-40.2	-0.369	0
4.65	2.33	6.98	2.33	4.65	11.6	4.65	9.3	4.65	6.1	2.44	9.76	4.88	6.1	7.32	8.54	13.4	2.44	32	0.386	10.8	0.13	4.2	0.0506	0.301	0.253	0.241	43	0.326	0.186	0.233	40	0.275	0.325	0.25	-36.1	-0.435	0
2.27	2.27	2.27	2.27	4.55	9.09	2.27	13.6	6.82	4.62	1.54	4.62	4.62	3.08	10.8	4.62	12.3	4.62	26	0.394	2.77	0.042	1.21	0.0183	0.273	0.212	0.212	44	0.295	0.159	0.227	22	0.227	0.318	0.182	-33.2	-0.503	0
6.82	4.55	6.82	9.09	9.09	6.82	4.55	13.6	11.4	3.8	2.53	8.86	5.06	7.59	11.4	6.33	15.2	15.2	27	0.338	6.26	0.0782	2.26	0.0282	0.4	0.2	0.275	44	0.341	0.227	0.295	36	0.472	0.167	0.25	-35.3	-0.441	0
2.27	2.27	11.4	2.27	0	6.82	6.82	6.82	6.82	2.04	1.02	10.2	3.06	3.06	9.18	8.16	9.18	8.16	39	0.394	4.35	0.0439	2	0.0202	0.293	0.202	0.253	44	0.273	0.25	0.182	55	0.309	0.164	0.309	-41.1	-0.415	0
6.98	2.33	4.65	4.65	2.33	9.3	6.98	11.6	6.98	2.75	4.59	5.5	6.42	3.67	7.34	5.5	11	8.26	35	0.318	13.4	0.122	4.27	0.0388	0.282	0.2	0.255	43	0.302	0.256	0.186	67	0.269	0.164	0.299	-38.7	-0.352	0
